"state","area","location","type","lat_dd","long_dd","depths"
"Washington","Westport","Buoy 3","required",46.9166666666667,-124.25,"15, 30, 45 fathoms"
"Washington","Westport","Grayland","required",46.8166666666667,-124.2,"15, 30, 45 fathoms"
"Washington","Westport","Willapa","required",46.7333333333333,-124.183333333333,"15, 30, 45 fathoms"
"Washington","Long Beach","Peacock Spit","required",46.25,-124.166666666667,"15, 30, 45 fathoms"
"Washington","Long Beach","Seaview","required",46.3166666666667,-124.15,"15, 30, 45 fathoms"
"Washington","Long Beach","Cranberry","required",46.3833333333333,-124.15,"15, 30, 45 fathoms"
"Washington","Northern","Destruction Island","optional",47.65,-124.583333333333,"15, 30, 45 fathoms"
"Washington","Northern","Kalaloch","optional",47.5333333333333,-124.6,"15, 30, 45 fathoms"
"Washington","Northern","Raft River","optional",47.4333333333333,-124.566666666667,"15, 30, 45 fathoms"
"Oregon","Astoria","Peter Iredale","required",46.1833333333333,-124.166666666667,"15, 30, 45 fathoms"
"Oregon","Astoria","Seaside","required",46.0166666666667,-124.05,"15, 30, 45 fathoms"
"Oregon","Garibaldi","Nehalem River","required",45.7,-124.033333333333,"15, 30, 45 fathoms"
"Oregon","Garibaldi","Netarts","required",45.4,-124.05,"15, 30, 45 fathoms"
"Oregon","Newport","Cascade Head","required",45.05,-124.1,"15, 30, 45 fathoms"
"Oregon","Newport","Alsea Bay","required",44.3833333333333,-124.2,"15, 30, 45 fathoms"
"Oregon","Coos Bay","Winchester Bay","required",43.7333333333333,-124.233333333333,"15, 30, 45 fathoms"
"Oregon","Coos Bay","Coos Bay","required",43.45,-124.333333333333,"15, 30, 45 fathoms"
"Oregon","Floras Creek","Floras Creek","required",42.9166666666667,-124.583333333333,"15, 30, 45 fathoms"
"Oregon","Port Orford","Port Orford","required",42.65,-124.5,"15, 30, 45 fathoms"
"Oregon","Brookings","Pistol River","required",42.2666666666667,-124.45,"15, 30, 45 fathoms"
"Oregon","Brookings","OR/CA border","required",42.0333333333333,-124.35,"15, 30, 45 fathoms"
"California","Crescent City","Klamath River","required",41.55,-124.183333333333,"15, 30, 45 fathoms"
"California","Crescent City","St. George Reef","required",41.7666666666667,-124.25,"15, 25, 35 fathoms"
"California","Trinidad","Lagoons","required",41.2666666666667,-124.15,"15, 30, 45 fathoms"
"California","Trinidad","Trinidad Head","required",41.05,-124.15,"15, 30, 45 fathoms"
"California","Eureka","LP Eureka","required",40.8333333333333,-124.233333333333,"15, 30, 45 fathoms"
"California","Eureka","Eel River","required",40.65,-124.383333333333,"15, 25, 35 fathoms"
"California","Fort Bragg","Usal","required",39.8,-123.883333333333,"15, 25, 35 fathoms"
"California","Fort Bragg","Jack Ass","required",39.8666666666667,-123.95,"15, 25, 35 fathoms"
"California","Bodega Bay","Russian River","informational",38.4333333333333,-123.183333333333,"15, 30, 45 fathoms"
"California","Bodega Bay","Point Reyes","informational",38.0333333333333,-123.05,"15, 30, 45 fathoms"
"California","Half Moon Bay","Duxbury","informational",37.8333333333333,-122.766666666667,"15, 25, 35 fathoms"
"California","Half Moon Bay","Half Moon Bay","informational",37.6166666666667,-122.683333333333,"15, 25, 35 fathoms"
