Species,Stock.or.Area,Year,Month,Day,Interaction.Type,County.Locale,STATE,Initial.Injury.Assessment,Comments,Final.Injury.Assessment,SI.Criteria.Supporting.Assessment,SI.Proration.Value,COUNT.AGAINST.LOF,COUNT.AGAINST.PBR
BAIRD'S BEAKED WHALE,CA-OR-WA,2016,8,29,VESSEL STRIKE,MARIN,CA,DEAD,"THE DISTAL END OF THE PEDUNCLE AND THE FLUKES HAD BEEN SEVERED OFF, LIKELY PERIMORTEM. STANDARD LENGTH MEASUREMENT IS TO THE SEVERED PEDUNCLE. LIMITED NECROPSY DUE TO THE LEVEL OF DECOMPOSITION.",DEAD,L5A,1,N,Y
BLAINVILLE'S BEAKED WHALE,CA-OR-WA,2016,10,9,GILLNET FISHERY,CLALLAM,WA,DEAD,"DETERMINED VIA EXTERNAL AND INTERNAL EXAM, HISTOLOGY. SEVERAL EVENLY SPACED (5CM BETWEEN EACH ""X"") CROSSHATCH MARKS ON FRONT OF ROSTRUM AND SIDES OF HEAD. THIN INDENTATIONS ON LEFT AND RIGHT SIDES OF BEAK THAT APPEAR TO WRAP AROUND BEAK. DIFFUSE BRUISING THROUGHOUT HEAD BLUBBER, SEVERE ON RIGHT SIDE BEHIND BLOWHOLE, WITH EDEMATOUS MUSCLE BENEATH. BODY BRUISING, PARTICULARLY ON ENTIRE VENTRAL SIDE OF THE ANIMAL AND ALONG THE TIPS OF THE DORSAL VERTEBRAL PROCESSES. EVIDENCE OF POSSIBLE DROWNING, CONFIRMED VIA HISTOLOGY. ALSO INGESTED 15CM LONG PIECE OF BLACK KNOTTED ROPE (3CM DIAMETER).",DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2007,1,28,VESSEL STRIKE,TILLAMOOK,OR,DEAD,CONTAINER SHIP REPORTED STRIKING A WHALE,DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2007,9,8,VESSEL STRIKE,LOS ANGELES,CA,DEAD,CARCASS FLOATING IN HARBOR,DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2007,9,13,VESSEL STRIKE,VENTURA,CA,DEAD,CARCASS; VERTEBRAL COLUMN SEVERED IN LUMBAR/CAUDAL REGION; LARGE HEMATOMA EXTENDING FROM DORSAL FIN TO PECTORAL FIN ON LEFT LATERAL SIDE,DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2007,9,19,VESSEL STRIKE,SANTA BARBARA,CA,DEAD,"CARCASS; CRANIAL RIBS, THORACIC VERTEBRAE & CAUDAL SKULL FRACTURED",DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2007,11,30,VESSEL STRIKE,SANTA BARBARA,CA,DEAD,CARCASS; SEVERED RIGHT PECTORAL FIN,DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2009,10,12,VESSEL STRIKE,MONTEREY,CA,DEAD,"FRACTURED VERTEBRAL BODIES, DORSAL & TRANSVERSE PROCESSES, & END PLATES; VERTEBRAE FRACTURED CAUDAL TO RIBS, NO FRACTURED RIBS; SUBCUTANEOUS TISSUE & MUSCLE HEMORRHAGING IN AREA OF VERTEBRAL TRAUMA; CARCASS EXAMINED BY LONG MARINE LABORATORY, MOSS LANDING MARINE LABORATORIES, THE MARINE MAMMAL CENTER & OTHERS",DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2009,10,19,VESSEL STRIKE,MENDOCINO,CA,DEAD,HYDROGRAPHIC SURVEY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; MORTALITY; CARCASS WASHED ASHORE SOUTH OF MENDOCINO; TWO DEEP DIAGONAL PROPELLER-LIKE CUTS ACROSS BACK & EXTENDING INTO VERTEBRAE & INTERVERTEBRAL DISKS; TWO FRACTURED POSTERIOR VERTEBRAE; CARCASS EXAMINED BY HSU-VM ,DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2010,8,4,VESSEL STRIKE,MONTEREY,CA,SI (PRORATE),"REPORT FROM CAPTAIN OF STRIKING A WHALE. WHALEWATCH VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; REPORT IS OF ANIMAL STRUCK MID-BODY, DIVING FOLLOWING STRIKE, NO BLOOD OBSERVED IN WATER AND ANIMAL NOT RESIGHTED. VESSEL SIZE ASSUMED IN EXCESS OF 65 FT. AND SPEED UNKNOWN.",SI (PRORATE),L7A,0.56,N,Y
