"",AREA,"SAMPLECOLLECTIONDATE(S)",CRAB TYPE,"NUMBEROFSAMPLES","RESULTS - RANGE(FDA ACTIONLEVEL - >30 PPM)","AVERAGELEVEL (FDAACTION LEVEL ->30 PPM)","PERCENT OFSAMPLESEXCEEDINGACTION LEVEL"
Crescent City,North,9/14/2016,Dungeness,6,6.7-53 ppm,19 ppm,17%
"",South,11/1/2016,Dungeness,6,<2.5-8.8 ppm,5 ppm,0%
"",North,11/1/2016,Dungeness,6,<2.5-14 ppm,7 ppm,0%
"",,,,,,,
Trinidad,South,9/16/2016,Dungeness,6,5.9-33 ppm,17 ppm,17%
"",South,11/2/2016,Dungeness,6,<2.5-7.6 ppm,4 ppm,0%
"",North,11/1/2016,Dungeness,6,<2.5-25 ppm,9 ppm,0%
Eureka,Humboldt Bay,8/23/2016,Rock,5,Non-detectable,Non-detectable,0%
"",Humboldt Bay,9/13/2016,Rock,3,Non-detectable,Non-detectable,0%
"",Samoa,9/16/2016,Dungeness,6,8.2-20 ppm,14 ppm,0%
"",Eel River,9/15/2016,Dungeness,6,<2.5-29 ppm,14 ppm,0%
"",Cape Mendocino,12/12/2016,Dungeness,6,<2.5-9.8 ppm,4 ppm,0%
"",Punta Gorda,12/13/2016,Dungeness,6,<2.5-14 ppm,6 ppm,0%
"",,,,,,,
Fort Bragg,Usal,9/16/2016,Dungeness,6,<2.5-64 ppm,17 ppm,17%
"",Usal,10/11/2016,Dungeness,6,7.3-74 ppm,33 ppm,33%
"",Usal,11/12/2016,Dungeness,6,3.8-50 ppm,27 ppm,50%
"",Pt. Arena,11/12/2016,Dungeness,6,8-47 ppm,26 ppm,33%
"",Usal,11/22/2016,Dungeness,6,6-170 ppm,49 ppm,33%
"",Pt. Arena,11/22/2016,Dungeness,6,7.6-31 ppm,18 ppm,17%
"",Usal,12/3/2016,Dungeness,6,<2.5-17 ppm,4 ppm,0%
"",Shelter Cove,12/3/2016,Dungeness,6,<2.5-17 ppm,8 ppm,0%
"",Usal,12/11/2016,Dungeness,6,<2.5-64 ppm,20 ppm,33%
"",Pt. Arena,12/7/2016,Dungeness,6,<2.5-30 ppm,6 ppm,0%
"",Pt. Arena,12/12/2016,Dungeness,6,<2.5-7.2 ppm,2 ppm,0%
"",Ten Mile,12/15/2016,Dungeness,6,4.9-14 ppm,11 ppm,0%
"",Usal,12/18/2016,Dungeness,6,4.8-54 ppm,18 ppm,17%
"",Usal,12/28/2016,Dungeness,6,2.5-22 ppm,10 ppm,0%
"",Usal,1/4/2017,Dungeness,6,5.6-23 ppm,11 ppm,0%
"",Shelter Cove,6/2/2017,Rock,3,<2.5-73 ppm,26 ppm,33%
Bodega Bay,Point Reyes,9/9/2016,Dungeness,6,<2.5-16 ppm,6 ppm,0%
Russian River,9/10/2016,Dungeness,6,4-60 ppm,21 ppm,17%,
Russian River,9/26/2016,Dungeness,6,8-29 ppm,19 ppm,0%,
Russian River,10/12/2016,Dungeness,6,<2.5-71 ppm,17 ppm,17%,
Bodega Head,10/12/2016,Dungeness,6,<2.5-40 ppm,15 ppm,33%,
Bodega Head,10/27/2016,Dungeness,6,<2.5-51 ppm,18 ppm,17%,
Russian River,10/27/2016,Dungeness,6,5.4-51 ppm,18 ppm,17%,
Bodega Head,11/3/2016,Dungeness,6,<2.5-65 ppm,13 ppm,17%,
Russian River,11/3/2016,Dungeness,6,Non-detectable,Non-detectable,0%,
